id;keyword;title;directions;ingredients;course_meal_type;cuisine_origin;Prep Time;cook time;Total Time;equipments;Protein;Fat;Carbohydrates_g;fiber_g;sugar_g;sodium_mg
72;aioli;Spicy african-asian chicken with garlic aioli;In a bowl, combine soy sauce, harissa paste, sesame oil, minced garlic, ground ginger, and lemon juice. Add chicken strips to the marinade and mix well to coat evenly. Cover and refrigerate for at least 30 minutes. Heat vegetable oil in a skillet over medium heat. Cook marinated chicken for 8 to 10 minutes until golden and cooked through. In a small bowl, mix mayonnaise, grated garlic, rice vinegar, and chili powder to make the aioli. Season aioli with salt and pepper to taste. Serve chicken hot, garnished with chopped cilantro. Offer garlic aioli on the side for dipping or drizzling.;soy sauce, harissa paste, sesame oil, minced garlic, ground ginger, lemon juice, chicken strips, vegetable oil, mayonnaise, grated garlic, rice vinegar, chili powder, salt, pepper, cilantro;Main Course;African-Asian;30;10;40;Skillet;30;25;10;1;1;800
73;casserole;Spicy african-asian chicken casserole;Preheat oven to 180∞C (350∞F). Heat oil in a skillet over medium heat. Grill onion, garlic, ginger, and chili until fragrant. Add chicken and cook until lightly browned. Stir in cumin, curry powder, tomato paste, and soy sauce. Pour in coconut milk and simmer for 5 minutes. Mix in cooked rice and peas until combined. Transfer mixture to a greased casserole dish. Bake uncovered for 25 minutes until bubbly and golden. Garnish with fresh coriander before serving.;oil, onion, garlic, ginger, chili, chicken, cumin, curry powder, tomato paste, soy sauce, coconut milk, rice, peas, fresh coriander;Main Course;African-Asian;15;30;45;Skillet|Oven;30;25;40;5;3;800
74;chinese cabbage;Stir-fried chinese cabbage with peanut sauce;Heat oil in a large pan over medium heat. Add onion, garlic, and ginger, and Grill until fragrant. Add tofu cubes and cook until lightly browned on all sides. Stir in Chinese cabbage and cook until wilted. In a small bowl, whisk peanut butter, soy sauce, lime juice, chili flakes, and water until smooth. Pour the sauce into the pan and stir to coat evenly. Simmer for 3 to 5 minutes until the sauce thickens slightly. Season with salt to taste. Sprinkle with chopped peanuts and garnish with fresh coriander. Serve hot with steamed rice or flatbread.;oil, onion, garlic, ginger, tofu, Chinese cabbage, peanut butter, soy sauce, lime juice, chili flakes, water, salt, peanuts, coriander, rice, flatbread;Main Course;Chinese;10;15;25;Pan;15;20;30;5;3;500
75;espresso martini;African-asian inspired espresso martini;Brew fresh espresso and allow it to cool completely. In a cocktail shaker, combine espresso, vodka, coffee liqueur, baobab powder, cardamom, and palm sugar syrup. Add a generous handful of ice to the shaker. Shake vigorously for 15 to 20 seconds until well chilled and frothy. Strain the mixture evenly into four chilled martini glasses. Garnish each with a few whole coffee beans. Serve immediately while cold and frothy.;espresso, vodka, coffee liqueur, baobab powder, cardamom, palm sugar syrup, ice, coffee beans;Drinks;African-Asian;5;0;5;Shaker;0;0;20;0;15;0
76;falafel;Spiced african-asian fusion falafel wraps;Place chickpeas, onion, garlic, ginger, cilantro, parsley, and spices in a food processor. Blend until mixture is coarse and holds together when pressed. Add flour, season with salt and pepper, and pulse to combine. Form mixture into small balls or patties using damp hands. Heat oil in a skillet over medium heat. Fry falafel in batches until golden brown and crispy on all sides. Drain falafel on paper towels. Warm flatbreads in a dry skillet or oven. Fill each flatbread with falafel, cabbage, pickled vegetables, and peanut sauce. Serve immediately while warm.;chickpeas, onion, garlic, ginger, cilantro, parsley, spices, flour, salt, pepper, oil, flatbreads, cabbage, pickled vegetables, peanut sauce;Main Course;African-Asian;20;15;35;Skillet|Food Processor;15;20;50;10;5;300
77;fennel;Spiced fennel stir-fry with peanut sauce;Heat oil in a large skillet or wok over medium heat. Add garlic and ginger and Grill until fragrant. Add tofu and cook until golden on all sides. Stir in fennel, bell pepper, and carrot and cook until just tender. In a small bowl, whisk together soy sauce, peanut butter, chili paste, and lime juice. Pour sauce into the skillet and toss to coat evenly. Cook for 2 more minutes until vegetables are glazed and heated through. Remove from heat and sprinkle with chopped peanuts and green onions. Garnish with fresh cilantro before serving. Serve hot with steamed rice or flatbread.;oil, garlic, ginger, tofu, fennel, bell pepper, carrot, soy sauce, peanut butter, chili paste, lime juice, peanuts, green onions, cilantro, rice, flatbread;Main Course;Thai;15;15;30;Skillet|Wok;20;25;40;8;5;800
78;focaccia;Spiced focaccia with berbere and sesame oil;In a large bowl, mix flour, salt, and yeast. Gradually add warm water and olive oil, stirring to form a sticky dough. Knead the dough on a floured surface for 8 to 10 minutes until smooth. Place dough in an oiled bowl, cover, and let rise for 1 hour until doubled. Preheat oven to 220∞C (430∞F) and oil a baking tray. Stretch dough onto tray, pressing with fingers to create dimples. Drizzle with sesame oil and sprinkle with berbere, garlic, onion, and sesame seeds. Bake for 20 to 25 minutes until golden and crisp on top. Cool slightly on a wire rack. Garnish with fresh coriander before serving.;flour, salt, yeast, warm water, olive oil, sesame oil, berbere, garlic, onion, sesame seeds, fresh coriander;Snack|Side Dish;African;15;25;40;Oven;6;8;30;1;0;200
79;cucumber salad;Spicy african-asian cucumber salad;Place cucumber and red onion slices in a large mixing bowl. In a small bowl, whisk together rice vinegar, lime juice, soy sauce, sesame oil, and sugar. Add grated ginger and chopped chili to the dressing and mix well. Pour the dressing over the cucumber and onion mixture. Toss gently to coat all the vegetables evenly. Let the salad sit for 10 minutes to allow flavors to meld. Sprinkle chopped cilantro and ground peanuts on top before serving. Serve chilled or at room temperature.;cucumber, red onion, rice vinegar, lime juice, soy sauce, sesame oil, sugar, ginger, chili, cilantro, peanuts;Salad;African-Asian;15;0;15;;4;9;20;2;5;500
80;ginger shot;Spicy ginger shot with hibiscus and lemongrass;Bring water to a boil in a saucepan. Add ginger, hibiscus petals, and lemongrass to the boiling water. Reduce heat and simmer for 10 minutes. Remove from heat and let steep for another 5 minutes. Strain the mixture into a heatproof container. Stir in lime juice, honey, cayenne pepper, and salt. Let the liquid cool to room temperature. Refrigerate for at least 1 hour before serving. Shake well before pouring into shot glasses. Serve chilled and consume within 3 days.;water, ginger, hibiscus petals, lemongrass, lime juice, honey, cayenne pepper, salt;Drinks;International;5;15;20;Saucepan;0.5;0.1;12;0.5;8;200
81;sweet potato;Sweet potato coconut curry stir-fry;Heat oil in a large pan over medium heat. Add onion and Grill until soft and translucent. Stir in garlic, ginger, and chili and cook for 1 minute. Add diced sweet potatoes and cook for 5 minutes, stirring occasionally. Mix in bell pepper, coriander, and cumin and stir well. Pour in coconut milk and soy sauce and bring to a simmer. Cover and cook for 10 to 12 minutes until sweet potatoes are tender. Uncover and simmer for 2 more minutes to thicken slightly. Season with salt to taste. Serve hot over jasmine rice and garnish with fresh cilantro.;oil, onion, garlic, ginger, chili, sweet potatoes, bell pepper, coriander, cumin, coconut milk, soy sauce, salt, jasmine rice, cilantro;Main Course;Indian;10;20;30;Pan;6;15;55;8;10;500
82;keto;Keto african-asian chicken stir-fry;Heat coconut oil in a large skillet over medium heat. Add sliced chicken and cook until browned and cooked through. Remove chicken and set aside. In the same skillet, Grill onion, garlic, and ginger until fragrant. Add bell pepper and green beans and stir-fry for 3 to 4 minutes. Return chicken to the skillet and stir to combine. Add soy sauce, fish sauce, coriander, and chili flakes. Cook for another 2 to 3 minutes until everything is well coated and heated through. Sprinkle with sesame seeds and chopped cilantro before serving. Serve hot as a standalone keto-friendly meal.;coconut oil, chicken, onion, garlic, ginger, bell pepper, green beans, soy sauce, fish sauce, coriander, chili flakes, sesame seeds, cilantro;Main Course;African-Asian;10;15;25;Skillet;30;25;10;3;2;800
83;meal prep;African-asian chicken meal prep bowls;Mix soy sauce, peanut butter, ginger, garlic, and cumin in a bowl. Add diced chicken and marinate for at least 30 minutes. Heat vegetable oil in a pan and cook chicken until browned and cooked through. In a separate pan, Grill bell pepper and zucchini in sesame oil until tender-crisp. Combine cooked jasmine rice and jollof rice in a large bowl. Divide rice mixture evenly into four meal prep containers. Top each container with Grilled vegetables and cooked chicken. Sprinkle with chopped spring onions and drizzle with lime juice. Let cool before sealing containers and refrigerate. Reheat in microwave before serving.;soy sauce, peanut butter, ginger, garlic, cumin, chicken, vegetable oil, bell pepper, zucchini, sesame oil, jasmine rice, jollof rice, spring onions, lime juice;Main Course;African;30;20;50;Pan|Microwave;30;25;60;5;5;800
84;nut corners;Spiced nut corners with ginger and sesame;Preheat oven to 180∞C (350∞F) and line a baking tray with parchment paper. In a saucepan, melt butter over low heat and stir in honey and brown sugar. Add ginger, cardamom, and salt, and cook for 2 minutes until slightly thickened. Stir in chopped nuts and sesame seeds until fully coated. Lay out the phyllo pastry and brush lightly with vegetable oil. Spread the nut mixture evenly over the pastry, leaving a small border. Fold the pastry over the filling and press gently to seal. Cut into triangle-shaped corners and place on the prepared baking tray. Bake for 15 to 18 minutes until golden and crisp. Cool completely before serving to allow the filling to set.;butter, honey, brown sugar, ginger, cardamom, salt, nuts, sesame seeds, phyllo pastry, vegetable oil;Snack;International;10;18;28;Saucepan|Oven;5;15;30;2;10;200
85;pizzabroetchen;Spicy african-asian fusion pizzabr√∂tchen;Preheat oven to 200∞C (390∞F). Slice the tops off the bread rolls and hollow out the centers slightly. Heat oil in a pan over medium heat and Grill onion and garlic until soft. Add ground beef, cook until browned, then stir in gochujang and berbere spice. Season with salt and pepper, then remove from heat and let cool slightly. In a bowl, mix mayonnaise with soy sauce and chopped coriander. Fill bread rolls with beef mixture, top with shredded cabbage and cheese. Place filled rolls on a baking tray lined with parchment paper. Bake for 10 to 12 minutes or until cheese is melted and golden. Drizzle with coriander mayo before serving.;bread rolls, oil, onion, garlic, ground beef, gochujang, berbere spice, salt, pepper, mayonnaise, soy sauce, coriander, cabbage, cheese, parchment paper;Snack;African-Asian;15;12;27;Pan|Oven;25;25;30;2;1;600
86;plaetzchen;African-asian fusion plaetzchen cookies;Preheat oven to 180∞C (350∞F) and line a baking sheet with parchment paper. Cream together butter and brown sugar until light and fluffy. Beat in the egg and honey until fully incorporated. In a separate bowl, mix flour, ground peanuts, baking powder, salt, ginger, and cardamom. Gradually add dry ingredients to the wet mixture and mix to form a dough. Scoop small portions of dough and roll into balls. Flatten each ball slightly and place on the prepared baking sheet. Sprinkle sesame seeds on top of each cookie. Bake for 12 to 15 minutes or until golden brown. Cool on a wire rack before serving.;butter, brown sugar, egg, honey, flour, ground peanuts, baking powder, salt, ginger, cardamom, sesame seeds;Dessert;African-Asian;15;15;30;Oven;3;7;18;1;6;50
87;rewe;Spicy rewe stir-fry with ginger peanut sauce;Heat vegetable oil in a large pan over medium heat. Grill onion, garlic, ginger, and chili until fragrant. Add tofu cubes and cook until lightly golden. Stir in carrots and cook for 3 minutes. Add chopped rewe leaves and cook until wilted. In a bowl, whisk together soy sauce, peanut butter, coconut milk, sesame oil, and lime juice. Pour the sauce over the stir-fry and mix well. Simmer for 5 minutes until heated through. Adjust seasoning if needed. Serve hot with jasmine rice.;vegetable oil, onion, garlic, ginger, chili, tofu, carrots, rewe leaves, soy sauce, peanut butter, coconut milk, sesame oil, lime juice, jasmine rice;Main Course;International;15;20;35;Pan;20;25;50;8;5;800
88;roulades;Spiced chicken roulades with coconut peanut sauce;Butterfly each chicken breast and flatten slightly with a mallet. Season chicken with coriander, ginger, turmeric, chili flakes, and salt. In a skillet, heat 1  oil and Grill spinach and carrot until wilted. Place spinach mixture and cilantro on each chicken breast and roll tightly. Secure roulades with toothpicks or kitchen twine. Heat remaining oil in a skillet and brown roulades on all sides. Cover and cook over low heat for 10 to 12 minutes until cooked through. In a saucepan, combine coconut milk, peanut butter, soy sauce, garlic, and lime juice. Simmer sauce for 5 minutes until slightly thickened. Slice roulades and serve with warm coconut peanut sauce.;chicken breast, coriander, ginger, turmeric, chili flakes, salt, oil, spinach, carrot, cilantro, coconut milk, peanut butter, soy sauce, garlic, lime juice;Main Course;International;15;15;30;Skillet|Saucepan;30;25;20;5;5;600
89;ruehrei;African asian fusion ruehrei with spiced tofu;Heat oil in a non-stick skillet over medium heat. Grill onion, chili, and ginger-garlic paste until fragrant. Add tofu and cook until lightly browned. Stir in turmeric, curry powder, and soy sauce. Add diced tomato and cook until softened. Beat eggs in a bowl with salt and pepper. Pour eggs into the skillet and let set slightly. Gently scramble until just cooked through. Remove from heat and sprinkle with chopped coriander. Serve warm with flatbread or steamed rice.;oil, onion, chili, ginger-garlic paste, tofu, turmeric, curry powder, soy sauce, tomato, eggs, salt, pepper, coriander, flatbread, rice;Breakfast|Main Course;African|Asian;10;15;25;Skillet;20;22;15;3;2;800
90;sauerbraten;African-asian sauerbraten fusion stew;Combine vinegar, water, soy sauce, ginger, coriander, garlic, onion, tomato paste, brown sugar, cloves, salt, and pepper in a bowl. Add beef chunks to the marinade and refrigerate for at least 8 hours or overnight. Remove beef from marinade and pat dry, reserving the marinade. Heat oil in a large pot over medium heat. Sear beef chunks on all sides until browned. Pour reserved marinade into the pot and bring to a boil. Reduce heat to low, cover, and simmer for 2 hours or until beef is tender. Stir occasionally and add water if needed to maintain liquid level. Adjust seasoning to taste before serving. Serve hot with steamed rice or flatbread.;vinegar, water, soy sauce, ginger, coriander, garlic, onion, tomato paste, brown sugar, cloves, salt, pepper, beef chunks, oil, steamed rice, flatbread;Main Course;African-Asian;10;120;130;Pot|Stove / Pan;30;20;25;2;5;800
91;sauerkraut;Spicy sauerkraut stir-fry with tofu and peanuts;Heat vegetable oil in a large skillet over medium heat. Add tofu cubes and fry until golden on all sides, then set aside. Grill onion, garlic, ginger, and chili until fragrant and softened. Stir in sauerkraut and cook for 3 minutes, stirring occasionally. Return tofu to the pan and mix well. In a small bowl, combine soy sauce, peanut butter, and sesame oil. Pour the sauce into the pan and toss to coat evenly. Cook for another 2 minutes until heated through. Top with roasted peanuts and spring onions. Serve hot with cooked jasmine rice.;vegetable oil, tofu, onion, garlic, ginger, chili, sauerkraut, soy sauce, peanut butter, sesame oil, roasted peanuts, spring onions, jasmine rice;Main Course;International;10;15;25;Skillet;20;25;40;5;5;800
92;pork fillet;Spicy pork fillet with peanut soy glaze;Mix peanut butter, soy sauce, sesame oil, garlic, ginger, chili, honey, and lime juice in a bowl to make the glaze. Add pork slices to the glaze and marinate for at least 30 minutes. Heat vegetable oil in a large skillet over medium-high heat. Add marinated pork and cook until browned and cooked through, about 6-8 minutes. Remove pork and set aside. In the same skillet, Grill red onion and bell pepper until slightly tender. Return pork to the skillet and stir to combine with vegetables. Cook for another 2 minutes until heated through. Garnish with fresh coriander before serving. Serve hot with steamed rice.;peanut butter, soy sauce, sesame oil, garlic, ginger, chili, honey, lime juice, pork, vegetable oil, red onion, bell pepper, fresh coriander, steamed rice;Main Course;International;30;10;40;Skillet;30;20;40;2;5;800
93;smoothie;African-asian mango ginger smoothie;Place the chopped mangoes and banana into a blender. Add the coconut milk and plain yogurt to the blender. Grate fresh ginger and add it along with ground turmeric. Squeeze in the lime juice and drizzle in the honey. Pour in cold water to adjust the consistency. Add a handful of ice cubes for a chilled texture. Blend on high until smooth and creamy. Taste and adjust sweetness or lime juice if needed. Pour into glasses and serve immediately. Garnish with a slice of lime or a sprinkle of turmeric if desired.;mangoes, banana, coconut milk, plain yogurt, ginger, ground turmeric, lime juice, honey, cold water, ice cubes;Drinks;International;10;0;10;Blender;4;7;45;4;30;50
94;solyanka;African asian fusion solyanka soup;Heat oil in a large pot over medium heat. Grill onions, garlic, and ginger until fragrant. Add curry powder, paprika, and stir to coat the aromatics. Stir in chopped beef, chicken, and smoked fish, and cook until lightly browned. Add tomato paste and cook for 2 minutes to deepen flavor. Pour in broth, soy sauce, and diced tomatoes, then bring to a simmer. Add sliced pickles, olives, and a splash of lemon juice. Simmer for 20 minutes until flavors meld together. Season with salt and pepper to taste. Serve hot with fresh cilantro and a lemon wedge.;oil, onions, garlic, ginger, curry powder, paprika, beef, chicken, smoked fish, tomato paste, broth, soy sauce, diced tomatoes, pickles, olives, lemon juice, salt, pepper, cilantro, lemon;Soup;African;15;30;45;Pot|Stove / Pan;35;20;30;5;5;800
95;tomato soup;Spicy african-asian tomato soup;Heat vegetable oil in a pot over medium heat. Grill onion until soft and translucent. Add garlic, ginger, and chili, and cook for 2 minutes. Stir in cumin and coriander and cook for 1 minute. Add canned tomatoes and cook for 5 minutes, stirring occasionally. Pour in vegetable broth and bring to a boil. Reduce heat and simmer for 10 minutes. Stir in coconut milk, soy sauce, and sugar. Blend the soup until smooth using an immersion blender. Season with salt and pepper, garnish with cilantro, and serve hot.;vegetable oil, onion, garlic, ginger, chili, cumin, coriander, canned tomatoes, vegetable broth, coconut milk, soy sauce, sugar, salt, pepper, cilantro;Soup;African-Asian;10;20;30;Pot|Blender;4;10;40;5;5;800
96;tzatziki;Spicy tzatziki with harissa and thai basil;Grate the cucumber and squeeze out excess moisture using a clean cloth. In a bowl, combine Greek yogurt and grated cucumber. Add harissa paste, lime juice, and minced garlic to the yogurt mixture. Stir in chopped Thai basil, mint, and grated ginger. Season with ground cumin and salt to taste. Drizzle in olive oil and mix until well combined. Cover and refrigerate for at least 30 minutes to let flavors meld. Stir before serving and garnish with extra herbs if desired. Serve chilled as a dip or sauce alongside grilled meats or vegetables.;cucumber, Greek yogurt, harissa paste, lime juice, garlic, Thai basil, mint, ginger, ground cumin, salt, olive oil;Side Dish;Mediterranean;15;0;15;;8;10;12;1;3;200
97;vegan;Vegan african-asian peanut coconut stew;Heat vegetable oil in a large pot over medium heat. Add chopped onion and Grill until translucent. Stir in garlic, ginger, chili, and cumin and cook for 2 minutes. Add chickpeas and sweet potato and stir to coat with spices. Pour in coconut milk and diced tomatoes and mix well. Stir in peanut butter and soy sauce until fully combined. Bring to a simmer, cover, and cook for 20 minutes until sweet potato is tender. Add chopped spinach and cook for another 5 minutes. Season with salt to taste. Serve hot with rice or flatbread.;vegetable oil, onion, garlic, ginger, chili, cumin, chickpeas, sweet potato, coconut milk, diced tomatoes, peanut butter, soy sauce, spinach, salt;Main Course;African, Asian;10;25;35;Pot|Stove / Pan;15;20;50;10;5;500
98;lemon cake;Lemon cake with ginger and coconut twist;Preheat oven to 180∞C (350∞F) and grease a loaf pan. Cream butter and sugar in a bowl until light and fluffy. Beat in eggs one at a time until well incorporated. Stir in lemon juice, lemon zest, coconut milk, and fresh ginger. In a separate bowl, whisk flour, baking powder, ground ginger, and salt. Gradually add dry ingredients to wet mixture and mix until smooth. Fold in desiccated coconut gently. Pour batter into prepared pan and smooth the top. Bake for 45 to 50 minutes or until a toothpick comes out clean. Cool in pan for 10 minutes, then transfer to a wire rack to cool completely.;butter, sugar, eggs, lemon juice, lemon zest, coconut milk, fresh ginger, flour, baking powder, ground ginger, salt, desiccated coconut;Dessert;International;15;50;65;Oven;3;10;40;1;25;200
99;baguette;Spicy chicken baguette with african-asian flavors;Combine soy sauce, harissa paste, sesame oil, ginger, and garlic in a bowl. Add chicken slices to the marinade and let sit for 20 minutes. Heat a skillet over medium heat and cook marinated chicken until done. Mix mayonnaise with lime juice to make a tangy spread. Lightly toast the baguette halves until golden and crisp. Spread the lime mayo on the inside of each baguette half. Layer cooked chicken, red onion, carrot, and cucumber onto the bread. Top with fresh cilantro leaves for added flavor. Close the baguettes and press gently to secure the filling. Slice each filled baguette in half and serve warm or at room temperature.;soy sauce, harissa paste, sesame oil, ginger, garlic, chicken, mayonnaise, lime juice, baguette, red onion, carrot, cucumber, cilantro;Main Course;African-Asian;20;15;35;Skillet;30;25;45;2;3;800
100;sheet cake;Spiced ginger chai sheet cake with coconut glaze;Preheat oven to 175∞C (350∞F) and grease a 23x33 cm (9x13 inch) sheet pan. In a large bowl, whisk together flour, sugar, spices, baking powder, baking soda, and salt. In a separate bowl, beat eggs, oil, and chai tea until well combined. Gradually add wet ingredients to dry ingredients, stirring until smooth. Pour the batter into the prepared sheet pan and spread evenly. Bake for 25 to 30 minutes or until a toothpick inserted in the center comes out clean. Let the cake cool completely in the pan on a wire rack. In a small bowl, mix coconut milk and powdered sugar to make a glaze. Drizzle glaze over the cooled cake and spread evenly. Sprinkle with desiccated coconut before serving.;flour, sugar, spices, baking powder, baking soda, salt, eggs, oil, chai tea, coconut milk, powdered sugar, desiccated coconut;Dessert;Indian;15;30;45;Oven;2;10;45;1;20;200
101;bowl;Spicy african-asian fusion rice bowl;Cook jasmine rice according to package instructions and set aside. Heat vegetable oil in a pan over medium heat. Add diced chicken and cook until browned and fully cooked. Stir in onion, garlic, and ginger and Grill until fragrant. Mix in harissa paste, soy sauce, rice vinegar, and brown sugar. Cook for 2 to 3 minutes until the sauce thickens slightly. Add cabbage and carrot, stir-fry until just tender. Divide rice into bowls and top with chicken and vegetable mixture. Garnish with spring onions and fresh cilantro before serving.;jasmine rice, vegetable oil, chicken, onion, garlic, ginger, harissa paste, soy sauce, rice vinegar, brown sugar, cabbage, carrot, spring onions, fresh cilantro;Main Course;African-Asian;15;20;35;Pan;30;20;60;5;5;800
102;buckwheat;Spicy buckwheat stir-fry with peanut sauce;Rinse buckwheat and cook in boiling water for 10 minutes until tender, then drain. Heat oil in a large skillet or wok over medium heat. Grill onion, garlic, and ginger until fragrant. Add bell pepper, cabbage, and carrot, stir-fry for 5 minutes. In a bowl, whisk together soy sauce, chili paste, peanut butter, and water. Pour sauce over vegetables and stir well to coat. Add cooked buckwheat and toss everything together until heated through. Season with salt to taste. Garnish with chopped cilantro before serving.;buckwheat, oil, onion, garlic, ginger, bell pepper, cabbage, carrot, soy sauce, chili paste, peanut butter, water, salt, cilantro;Main Course;International;10;15;25;Skillet|Stove;12;18;50;8;5;800
103;butter chicken;African asian fusion butter chicken;Combine yogurt, lemon juice, garlic, ginger, coriander, turmeric, paprika, and berbere in a bowl. Add chicken to the marinade and refrigerate for at least 1 hour. Heat oil in a large pan over medium heat and Grill onions until golden. Add the marinated chicken and cook until browned on all sides. Stir in crushed tomatoes and simmer for 10 minutes. Pour in coconut milk and cook for another 10 minutes until sauce thickens. Stir in butter and season with salt to taste. Simmer for 5 more minutes until chicken is tender and sauce is creamy. Garnish with fresh cilantro before serving. Serve hot with rice or flatbread.;yogurt, lemon juice, garlic, ginger, coriander, turmeric, paprika, berbere, chicken, oil, onions, crushed tomatoes, coconut milk, butter, salt, cilantro, rice, flatbread;Main Course;Indian;60;25;85;Pan;30;25;20;2;5;500
104;buttercream;African-asian spiced buttercream cupcakes;Preheat oven to 180∞C (350∞F) and line a muffin tin with cupcake liners. Cream softened butter and granulated sugar until light and fluffy. Add eggs one at a time, beating well after each addition. Mix in the milk gradually until fully combined. In a separate bowl, whisk flour, baking powder, cardamom, ginger, and salt. Gradually add dry ingredients to wet mixture and mix until smooth. Divide batter evenly among cupcake liners and bake for 18 to 20 minutes. Let cupcakes cool completely on a wire rack before frosting. For the buttercream, beat butter until creamy, then add powdered sugar gradually. Mix in coconut milk, vanilla, and nutmeg until smooth and fluffy, then frost cooled cupcakes.;butter, granulated sugar, eggs, milk, flour, baking powder, cardamom, ginger, salt, powdered sugar, coconut milk, vanilla, nutmeg;Dessert;African-Asian;20;20;40;Oven|Mixer;3;12;45;1;25;150
105;butterplaetzchen;Butterplaetzchen with cardamom and sesame twist;Preheat oven to 180∞C (350∞F) and line a baking tray with parchment paper. Cream butter and sugar in a bowl until light and fluffy. Beat in the egg, vanilla extract, and milk until well combined. In a separate bowl, mix flour, salt, cardamom, and sesame seeds. Gradually add dry ingredients to the wet mixture and mix into a soft dough. Wrap the dough in plastic wrap and chill for 30 minutes. Roll out dough on a floured surface to 5 mm (1/4 in) thickness. Cut into desired shapes and place on prepared tray. Sprinkle with extra sesame seeds and gently press them in. Bake for 10 to 12 minutes until edges are lightly golden, then cool on a rack.;butter, sugar, egg, vanilla extract, milk, flour, salt, cardamom, sesame seeds, extra sesame seeds;Dessert;German;30;12;42;Oven;2;7;20;0;5;50
106;caipirinha;Caipirinha-inspired ginger lemongrass mocktail;Muddle the lime quarters with brown sugar in a pitcher to release juice. Add grated ginger and chopped lemongrass to the mixture. Lightly crush the lemongrass with a wooden spoon to release flavor. Pour in the coconut water and stir well to combine. Let the mixture sit for 10 minutes to infuse flavors. Strain the mixture into a clean pitcher to remove solids. Add ice cubes and top with sparkling water. Stir gently to mix and chill evenly. Pour into glasses and garnish with fresh mint leaves. Serve immediately for a refreshing twist on caipirinha.;lime, brown sugar, ginger, lemongrass, coconut water, ice cubes, sparkling water, mint leaves;Drinks;International;10;0;10;;1;0;37;1;12;5
107;cevapcici;African-asian fusion cevapcici skewers;Soak wooden skewers in water for 30 minutes to prevent burning. In a large bowl, combine ground beef, ground lamb, and all spices. Add minced garlic, grated ginger, chopped chili, and soy sauce. Mix in chopped coriander and egg until well combined. Shape the mixture into small sausage-like logs around each skewer. Preheat a grill or grill pan over medium-high heat. Brush skewers with sesame oil before grilling. Grill skewers for 10 to 12 minutes, turning occasionally, until cooked through. Serve with spicy peanut sauce and a side of couscous or jasmine rice. Garnish with fresh herbs and lime wedges before serving.;wooden skewers, ground beef, ground lamb, spices, garlic, ginger, chili, soy sauce, coriander, egg, sesame oil, spicy peanut sauce, couscous, jasmine rice, fresh herbs, lime wedges;Main Course;African-Asian;15;12;27;Grill;30;30;5;1;1;800
108;couscous;Spiced couscous with coconut peanut sauce;Place couscous in a heatproof bowl and pour over boiling water. Cover and let sit for 5 minutes, then fluff with a fork. Heat olive oil in a pan over medium heat. Grill onion, garlic, and ginger until soft and fragrant. Add red bell pepper and cook for 3 minutes. Stir in coconut milk, peanut butter, soy sauce, cumin, and chili flakes. Simmer until sauce thickens slightly, about 5 minutes. Add spinach and cook until wilted. Combine couscous with the sauce and mix well. Garnish with fresh coriander before serving.;couscous, boiling water, olive oil, onion, garlic, ginger, red bell pepper, coconut milk, peanut butter, soy sauce, cumin, chili flakes, spinach, fresh coriander;Main Course;International;5;15;20;Pan;12;20;45;5;3;500
109;simple;Simple african-asian peanut coconut chicken;Heat oil in a large skillet over medium heat. Add onion and Grill until soft and translucent. Stir in garlic, ginger, and chili, cooking for 1 minute. Add chicken and cook until browned on all sides. Stir in peanut butter, coconut milk, soy sauce, and ground coriander. Reduce heat and simmer for 15 minutes until chicken is cooked through. Stir in lime juice and adjust seasoning if needed. Garnish with chopped cilantro before serving. Serve hot with steamed rice.;oil, onion, garlic, ginger, chili, chicken, peanut butter, coconut milk, soy sauce, ground coriander, lime juice, cilantro, rice;Main Course;African-Asian;10;30;40;Skillet;30;25;40;2;3;600
110;nutrition docs;Grilled tofu with spicy peanut jollof rice;Marinate tofu in soy sauce, sesame oil, ginger, and garlic for 15 minutes. Heat vegetable oil in a large pan over medium heat. Grill onion and bell pepper until softened. Add rice and stir for 2 minutes to coat with oil and vegetables. Stir in chopped tomatoes, peanut butter, chili flakes, and broth. Season with salt and pepper, then bring to a boil. Reduce heat, cover, and simmer for 20 minutes until rice is cooked. Grill marinated tofu on a hot pan until golden on all sides. Fluff rice with a fork and serve topped with grilled tofu. Garnish with chopped herbs or crushed peanuts if desired.;tofu, soy sauce, sesame oil, ginger, garlic, vegetable oil, onion, bell pepper, rice, tomatoes, peanut butter, chili flakes, broth, salt, pepper, herbs, peanuts;Main Course;African;15;30;45;Pan;25;30;60;8;5;800
111;meatloaf sauce;Spicy african-asian meatloaf sauce;Heat vegetable oil in a saucepan over medium heat. Grill chopped onion until soft and translucent. Add garlic, ginger, and red chili, then cook for 1 minute. Stir in tomato paste and cook for another minute. Pour in crushed tomatoes and mix well. Add soy sauce, rice vinegar, brown sugar, and ground coriander. Simmer uncovered for 10 to 15 minutes until thickened. Season with salt to taste. Remove from heat and let cool slightly. Garnish with fresh cilantro before serving over meatloaf.;vegetable oil, onion, garlic, ginger, red chili, tomato paste, crushed tomatoes, soy sauce, rice vinegar, brown sugar, ground coriander, salt, cilantro;Main Course;African-Asian;10;15;25;Saucepan;2;7;20;2;5;500
